x,y,z,color,frame_number,delta_time
-10.984182619198599,5.043410347446636,21.530453852916647,orange,154,0.2645409107208252
-11.458561653077538,4.22030099379533,21.85777748716949,orange,155,0.2649190425872803
-12.070143658052642,3.510583185067489,22.24834235026166,orange,156,0.26642775535583496
-12.514301163257553,2.852592740534873,22.560794240735394,orange,157,0.2799715995788574
-12.82451906864631,2.3149233602149875,22.810755753114382,orange,158,0.3266315460205078
-12.948646121325595,1.7945716584087363,23.010724963017573,orange,159,0.2827315330505371
-12.822407269593166,1.2767970747195998,23.170700330940125,orange,160,0.2812018394470215
-12.721416188207222,0.6934220373613977,23.298680625278166,orange,161,0.29482507705688477
-12.606615733719718,0.15935400555206486,23.537125442477915,orange,162,0.29608821868896484
-12.693694157892741,-0.2914697291105072,23.871945441598164,orange,163,0.2991526126861572
