,x,y,z
100,-6.988697799166327,-7.348155686392838,55.55928688391558
101,-6.562296967121149,-7.323484515696817,55.83985259003924
102,-6.128253403729536,-7.295794971113832,56.106956618574756
103,-5.67418949423766,-7.26648598822389,56.36115873185792
104,-5.214792213743433,-7.236597189410739,56.60301336841646
105,-4.692071030638418,-7.187283444974028,56.756531299075974
106,-4.134211061315737,-7.1249700145770865,56.84137815394563
107,-3.526685737517342,-7.064692401121131,56.87318652266629
108,-2.8955518649724006,-7.007086128131806,56.864367558226505
109,-2.192287696086969,-6.96914730063253,56.86047591293314
110,-1.4085185949047947,-6.953490819201647,56.90118612116277
111,-0.5824613244926093,-6.954190756568627,56.97538663598759
112,0.2836205395054321,-6.963753510372895,57.074297778676495
113,1.1611984736053294,-6.979506236935924,57.19099988711522
